yali0,yali1
YALI0_E32351g,YALI1_E38308g
YALI0_E33495g,YALI1_E39676g
YALI0_F00396g,YALI1_F00472g
YALI0_F00506g,YALI1_F00821g
YALI0_F01210g,YALI1_F01981g
YALI0_F03179g,YALI1_F04433g
YALI0_F04378g,YALI1_F06787g
YALI0_F04444g,YALI1_F06858g
YALI0_F05962g,YALI1_F08845g
YALI0_F06842g,YALI1_F10122g
YALI0_F09273g,YALI1_F12917g
YALI0_F11297g,YALI1_F14958g
YALI0_F12089g,YALI1_F15961g
YALI0_F13145g,YALI1_F17569g
YALI0_F13937g,YALI1_F18740g
YALI0_F14223g,YALI1_F19090g
YALI0_F15983g,YALI1_F21467g
YALI0_F16225g,YALI1_F21728g
YALI0_F16423g,YALI1_F21908g
YALI0_F18216g,YALI1_F24171g
YALI0_F18590g,YALI1_F24773g
YALI0_F19712g,YALI1_F26167g
YALI0_F21791g,YALI1_F28833g
YALI0_F23221g,YALI1_F30459g
YALI0_F23573g,YALI1_F30903g
YALI0_F26191g,YALI1_F33681g
YALI0_F28655g,YALI1_F36415g
YALI0_F28765g,YALI1_F36584g
YALI0_F29337g,YALI1_F36966g
YALI0_F30745g,YALI1_F38386g
YALI0_E03212g,YALI1_E03870g
NP_075432,NP_075432
NP_075433,NP_075433
NP_075437,NP_075437
YALI0_F04774g,YALI1_F07384g
NP_075434,NP_075434
NP_075438,NP_075438
YALI0_D18568g,YALI1_D23237g
NP_075443,NP_075443
YALI0_A14806g,YALI1_A14736g
YALI0_C12210g,YALI1_C17100g
YALI0_F24673g,YALI1_F32010g
YALI0_F08723g,YALI1_F12176g
YALI0_E31647g,YALI1_E37392g
YALI0_F01496g,YALI1_F02309g
YALI0_E17391g,YALI1_E20666g
YALI0_D14850g,YALI1_D18037g
YALI0_D24629g,YALI1_D32594g
YALI0_B14531g,YALI1_B19107g
YALI0_E33774g,YALI1_E40076g
YALI0_B01771g,YALI1_B02733g
YALI0_D08206g,YALI1_D10495g
YALI0_D16379g,YALI1_D20257g
YALI0_E22462g,YALI1_E26513g
YALI0_F02937g,YALI1_F04157g
YALI0_A01111g,YALI1_A01577g
YALI0_A06974g,YALI1_A06640g
YALI0_B01848g,YALI1_B02833g
YALI0_B02544g,YALI1_B03910g
YALI0_B10406g,YALI1_B14044g
YALI0_B13816g,YALI1_B18311g
YALI0_B14014g,YALI1_B18572g
YALI0_B21846g,YALI1_B28454g
YALI0_B22550g,YALI1_B29483g
YALI0_C04092g,YALI1_C05386g
YALI0_C08811g,YALI1_C12024g
YALI0_C20265g,YALI1_C28310g
YALI0_D02167g,YALI1_D02444g
YALI0_D08690g,YALI1_D11159g
YALI0_D12573g,YALI0D12573g
YALI0_D23815g,YALI1_D30899g
YALI0_E07787g,YALI0E07787g
YALI0_E15818g,YALI1_E19014g
YALI0_E25982g,YALI1_E30815g
YALI0_F01320g,YALI1_F02132g
YALI0_F05038g,YALI1_F07630g
YALI0_F09251g,YALI1_F12895g
YALI0_F22605g,YALI1_F29836g
YALI0_F23749g,YALI1_F31153g
YALI0_B14289g,YALI1_B18845g
YALI0_B16214g,YALI1_B21155g
YALI0_B19360g,YALI1_B25395g
YALI0_B22924g,YALI1_B29883g
YALI0_C16753g,YALI1_C23902g
YALI0_C20669g,YALI1_C28621g
YALI0_D18381g,YALI1_D22997g
YALI0_E02398g,YALI1_E03039g
YALI0_E20163g,YALI1_E23988g
YALI0_E20207g,YALI1_E24028g
YALI0_F01672g,YALI1_F02592g
YALI0_F26587g,YALI1_F34029g
YALI0_A08217g,YALI1_A07887g
YALI0_A20350g,YALI1_A21372g
YALI0_B09361g,YALI1_B12489g
YALI0_B16192g,YALI1_B21134g
YALI0_C19866g,YALI1_C27229g
YALI0_C22088g,YALI1_C30440g
YALI0_D02321g,YALI1_D02781g
YALI0_D19184g,YALI1_D24333g
YALI0_D24431g,YALI1_D32268g
YALI0_E34793g,YALI1_E41315g
YALI0_F07821g,YALI1_F11199g
YALI0_F26125g,YALI1_F33579g
YALI0_C23859g,YALI1_C32886g
YALI0_D27654g,YALI0D27654g
YALI0_E27654g,YALI1_E32603g
YALI0_E32835g,YALI1_E38912g
YALI0_D06281g,YALI1_D08050g
YALI0_A20988g,YALI1_A22023g
YALI0_D06798g,YALI1_D08734g
YALI0_E05049g,YALI1_E05963g
YALI0_D18920g,YALI1_D23995g
YALI0_D20152g,YALI1_D25450g
YALI0_E26741g,YALI0E26741g
YALI0_C00407g,YALI1_C00464g
YALI0_A08734g,YALI1_A08546g
YALI0_A16698g,YALI1_A16642g
YALI0_B12980g,YALI1_B17155g
YALI0_B14927g,YALI1_B19576g
YALI0_B17688g,YALI1_B22883g
YALI0_B23430g,YALI1_B30275g
YALI0_C02783g,YALI1_C03848g
YALI0_C05709g,YALI1_C07360g
YALI0_C06930g,YALI1_C09285g
YALI0_C08569g,YALI1_C11773g
YALI0_C20427g,YALI1_C28497g
YALI0_C22616g,YALI1_C31122g
YALI0_D10043g,YALI1_D12723g
YALI0_D12100g,YALI1_D15030g
YALI0_D19756g,YALI1_D25037g
YALI0_D25828g,YALI1_D34149g
YALI0_E07161g,YALI1_E08530g
YALI0_E14729g,YALI1_E17699g
YALI0_E18139g,YALI1_E21552g
YALI0_E18590g,YALI1_E22262g
YALI0_E20273g,YALI1_E24113g
YALI0_E20471g,YALI1_E24318g
YALI0_E27247g,YALI1_E32241g
YALI0_E32736g,YALI1_E38749g
YALI0_F05984g,YALI1_F08885g
YALI0_F11649g,YALI1_F15403g
YALI0_F17996g,YALI1_F23922g
YALI0_F19536g,YALI1_F25984g
YALI0_F20900g,YALI1_F27761g
YALI0_F21109g,YALI1_F27989g
YALI0_F22121g,YALI1_F29301g
YALI0_F28193g,YALI1_F35868g
YALI0_F28369g,YALI1_F36094g
YALIUNK1,YALIUNK1
