ids,conc
P25623,1.52E-06
P25626,3.54E-06
P25632,2.14E-07
P25642,1.51E-06
P25719,1.28E-05
P25847,5.53E-09
P26263,4.05E-06
P26321,6.65E-05
P26570,5.87E-07
P26637,4.16E-06
P26755,6.83E-07
P26785,1.70E-05
P26793,4.68E-07
P27466,3.46E-07
P27472,1.67E-06
P27514,1.00E-07
P27616,2.21E-05
P27697,1.78E-07
P27929,5.24E-07
P28007,5.31E-06
P28239,1.11E-07
P28240,4.61E-06
P28241,1.85E-05
P28272,4.08E-06
P28321,2.71E-06
P28495,8.29E-06
P28737,3.45E-07
P28777,4.96E-06
P28789,1.05E-06
P28834,4.07E-05
P29295,9.65E-07
P29311,2.24E-05
P29453,4.30E-05
P29478,5.62E-07
P29509,7.22E-06
P29547,1.41E-05
P29703,2.89E-07
P29704,2.83E-06
P29952,1.18E-05
P30624,6.45E-06
P30656,8.12E-07
P30657,2.35E-07
P30665,2.08E-07
P30822,1.45E-06
P30902,1.78E-05
P30952,1.62E-06
P31116,2.78E-05
P31334,4.37E-08
P31373,2.10E-05
P31383,1.23E-06
P31384,8.99E-07
P31412,8.58E-06
P31787,4.32E-05
P32178,7.95E-07
P32179,6.36E-06
P32263,5.36E-06
P32264,1.08E-06
P32316,1.40E-05
P32331,4.07E-07
P32332,1.81E-06
P32340,2.88E-05
P32347,2.29E-06
P32353,3.85E-07
P32368,1.27E-06
P32379,2.23E-06
P32387,4.85E-08
P32388,6.30E-07
P32419,1.61E-05
P32447,2.50E-06
P32449,2.77E-06
P32452,1.06E-06
P32453,1.33E-06
P32454,3.35E-06
P32457,1.08E-06
P32458,1.71E-06
P32461,1.62E-06
P32463,3.20E-06
P32468,2.79E-06
P32469,6.49E-06
P32471,6.97E-05
P32473,4.42E-05
P32474,1.46E-06
P32476,1.19E-05
P32481,3.35E-06
P32485,1.76E-06
P32495,2.92E-06
P32496,6.75E-06
P32497,3.67E-06
P32500,9.28E-08
P32502,8.38E-07
P32523,1.18E-07
P32524,1.67E-06
P32527,3.79E-06
P32563,2.59E-06
P32565,1.78E-06
P32579,4.55E-08
P32582,1.46E-05
P32588,2.91E-06
P32589,3.80E-05
P32599,3.92E-06
P32600,9.13E-09
P32604,7.10E-07
P32610,8.90E-08
P32611,7.70E-08
P32613,4.30E-07
P32614,4.68E-06
P32628,3.59E-07
P32769,7.48E-07
P32771,3.62E-07
P32787,2.58E-06
P32802,2.16E-07
P32803,4.23E-07
P32832,6.83E-07
P32839,8.10E-08
P32857,7.99E-07
P32861,9.08E-06
P32864,4.24E-07
P32875,2.03E-07
P32891,3.85E-06
P32899,2.98E-07
P32902,2.18E-06
P32904,1.60E-06
P32905,0.000125974
P32910,7.71E-08
P32911,6.17E-07
P32915,7.94E-07
P33201,1.16E-06
P33299,6.08E-06
P33302,4.58E-08
P33309,2.99E-07
P33311,1.27E-07
P33313,2.14E-07
P33317,3.89E-06
P33324,6.22E-07
P33327,2.23E-06
P33330,1.12E-05
P33333,4.44E-07
P33399,1.95E-06
P33401,9.86E-07
P33417,3.00E-07
P33421,8.62E-07
P33734,6.28E-06
P33755,5.80E-07
P33759,7.52E-08
P33767,4.45E-06
P33775,2.75E-08
P34087,4.75E-07
P34160,1.22E-06
P34162,4.84E-07
P34167,5.26E-06
P34216,3.67E-07
P34220,1.16E-07
P34221,1.25E-06
P34227,4.49E-06
P34253,2.66E-07
P34730,0.00011683
P34761,6.75E-08
P35127,3.22E-06
P35176,2.95E-06
P35179,3.81E-05
P35184,1.14E-06
P35196,2.02E-07
P35197,5.33E-07
P35202,2.26E-07
P35691,3.50E-05
P35719,9.79E-06
P35725,5.22E-08
P35732,4.90E-07
P35844,4.61E-06
P35845,2.36E-07
P36000,3.51E-07
P36007,1.55E-07
P36008,1.70E-05
P36015,1.02E-06
P36018,1.76E-06
P36036,4.38E-08
P36039,2.28E-08
P36040,1.27E-06
P36041,5.59E-07
P36057,2.68E-07
P36069,1.87E-07
P36090,9.85E-08
P36101,8.28E-07
P36112,3.19E-06
P36121,1.09E-07
P36123,1.88E-07
P36132,1.08E-07
P36136,3.93E-08
P36139,9.23E-06
P36144,1.06E-07
P36145,1.70E-07
P36147,1.14E-06
P36149,1.63E-06
P36150,7.34E-07
P36151,6.04E-07
P36154,1.03E-06
P36160,6.96E-07
P36421,7.96E-06
P36517,1.35E-06
P36519,5.28E-07
P36523,2.47E-06
P36525,8.37E-07
P36528,1.60E-06
P36531,3.23E-07
P36534,6.44E-07
P37262,9.58E-06
P37263,3.78E-08
P37291,2.45E-05
P37293,2.13E-07
P37304,3.37E-08
P37898,2.19E-06
P38009,4.72E-05
P38013,1.43E-05
P38063,2.28E-06
P38066,6.22E-07
P38071,7.22E-06
P38074,7.13E-07
P38081,2.35E-06
P38087,5.11E-07
P38089,2.59E-07
P38113,1.56E-06
P38115,8.64E-06
P38116,2.25E-06
P38120,9.84E-07
